X,Y,Z,F
-0.994311972519921,1.86579722093088,-0.208672869300626,-0.162634609503434
0.113208385909258,1.32572980046406,0.840264290999683,-0.164229186926231
0.306162693841886,1.47727719239827,0.521484543457973,-0.226409816969686
0.767175235265674,1.24677036266,0.0606259505871278,-0.0972225165214882
-0.614805486894866,1.7710858412951,0.399066005693531,0.22106116834809
-0.34597341794194,1.55646353344351,-0.577057579433792,-0.238964769760928
-0.077501417854219,1.51126629521867,0.907577369806258,0.0916810755582702
-0.982895358461629,1.87180947509404,-0.189448457488196,-0.145170871485242
-0.474078938708193,1.20966755533816,-0.12496408520382,-0.115960271415401
0.32153877600132,1.09696750368387,-0.36073935762065,0.298781908769152
-0.0264026036081841,1.5328390662402,0.989307789595171,0.0332629818382803
0.982861067164424,1.12817733505,0.189402915814287,-0.486604975523182
-0.583137567058005,1.44924266553699,0.759162849224909,0.597489886708706
0.733831677989529,1.99114223057198,-0.668840697423751,0.400807324314093
-0.31794470020522,1.20402265181859,0.696550801791379,0.444184224564198
0.696678114984342,1.58443252802464,0.403647728125483,-0.361218835620693
-0.614138024303629,1.91569073426437,-0.593928913956957,-0.280922278634451
0.232052421949816,1.797086600167,-0.978366948659152,0.215907535981748
0.300346403685479,1.18147668502794,0.249419374216678,-0.165984425617663
-0.795978182879271,1.31789218106258,-0.0511370992872717,-0.0651233521643775
-0.592092320228017,1.9301451176708,0.214533034529195,0.0965702100419776
-0.573202323534806,1.2978932797671,0.495502534670639,0.478399334767035
-0.758025081306236,1.78417700454224,-0.439859382212129,-0.29208567804913
0.867585829428301,1.57242661983995,0.223951936984424,-0.258144070308145
-0.178192795528609,1.57609482379074,0.323439475922715,0.0683862929034582
-0.329152668670088,1.79197640945017,-0.0950742049829741,-0.0283042769557809
0.028931340442256,1.98683099844186,0.259418435687995,-0.00572040905554969
-0.966153285458254,1.22858980908724,-0.132997892129467,-0.23288628780417
0.830838110258532,1.49268437421245,0.911699091063742,-1.11230418711236
-0.392708157513456,1.26210237114274,-0.723171994491288,-0.514653439576888
-0.140585864228333,1.72223465883225,-0.698157013789322,-0.0978967600007176
